Wall time,Step,Value
1599329501,0,0.47522828
1599329509,1,0.662796319
1599329515,2,0.77497679
1599329520,3,0.760729373
1599329526,4,0.800688207
1599329531,5,0.819678128
1599329536,6,0.840590477
1599329542,7,0.873017907
1599329547,8,0.887631178
1599329553,9,0.876484334
1599329559,10,0.89851743
1599329566,11,0.914619029
1599329571,12,0.910840273
1599329577,13,0.906209052
1599329582,14,0.917911768
1599329588,15,0.922694385
1599329593,16,0.916997731
1599329598,17,0.917998731
1599329604,18,0.925749242
1599329609,19,0.931193531
1599329615,20,0.932665586
1599329622,21,0.930055678
1599329627,22,0.935701311
1599329632,23,0.931364417
1599329638,24,0.925466597
1599329643,25,0.93343699
1599329649,26,0.938277066
1599329654,27,0.936573803
1599329659,28,0.934202015
1599329665,29,0.939635336
1599329670,30,0.937458038
1599329677,31,0.944506586
1599329683,32,0.94316715
1599329688,33,0.941433668
1599329693,34,0.943087518
1599329699,35,0.942534983
1599329704,36,0.931285083
1599329710,37,0.944965959
1599329715,38,0.945267498
1599329720,39,0.944457233
1599329726,40,0.949641168
1599329732,41,0.946293771
1599329738,42,0.942617655
1599329743,43,0.950296462
1599329749,44,0.949724019
1599329754,45,0.948862255
1599329759,46,0.948081732
1599329765,47,0.947928429
1599329770,48,0.948646605
1599329776,49,0.942722917
1599329781,50,0.946207941
1599329788,51,0.950546801
1599329793,52,0.949492633
1599329798,53,0.951227427
1599329804,54,0.954217672
1599329809,55,0.954735518
1599329815,56,0.952185214
1599329820,57,0.946042001
1599329825,58,0.952759504
1599329831,59,0.953702509
1599329836,60,0.952350974
1599329843,61,0.949087203
1599329848,62,0.946002066
1599329853,63,0.951052845
1599329859,64,0.952407897
1599329864,65,0.949509025
1599329870,66,0.953717053
1599329875,67,0.957212389
1599329881,68,0.955977201
1599329886,69,0.957144022
1599329891,70,0.958266318
1599329898,71,0.949879706
1599329903,72,0.956421793
1599329909,73,0.955918312
1599329914,74,0.956905961
1599329920,75,0.955657959
1599329925,76,0.955244303
1599329930,77,0.958142221
1599329936,78,0.956841409
1599329941,79,0.955602407
1599329947,80,0.954965949
1599329953,81,0.954309702
1599329958,82,0.955972075
1599329964,83,0.95565033
1599329969,84,0.95676136
1599329974,85,0.957304358
1599329980,86,0.957541406
1599329985,87,0.959111214
1599329991,88,0.955037892
1599329996,89,0.959577918
1599330001,90,0.959603131
1599330008,91,0.961085558
1599330013,92,0.957803488
1599330019,93,0.95896244
1599330024,94,0.955290735
1599330029,95,0.961047947
1599330035,96,0.958675206
1599330040,97,0.962265968
1599330046,98,0.959611833
1599330051,99,0.96113205
1599330056,100,0.96184653
1599330063,101,0.95815599
1599330068,102,0.96214509
1599330074,103,0.959600985
1599330079,104,0.96200788
1599330084,105,0.961268961
1599330090,106,0.962699533
1599330095,107,0.963793159
1599330101,108,0.963039458
1599330106,109,0.960704088
1599330111,110,0.962629139
1599330118,111,0.96076721
1599330123,112,0.963393152
1599330129,113,0.958888292
1599330134,114,0.959649444
1599330139,115,0.962084949
1599330145,116,0.963434041
1599330150,117,0.962739587
1599330156,118,0.961555719
1599330161,119,0.960960984
1599330166,120,0.963490248
1599330173,121,0.96157968
1599330178,122,0.961515784
1599330184,123,0.965265095
1599330189,124,0.96290642
1599330194,125,0.961847305
1599330200,126,0.962217391
1599330205,127,0.965638101
1599330211,128,0.962479413
1599330216,129,0.963659346
1599330222,130,0.963565588
1599330228,131,0.937769711
1599330234,132,0.956519723
1599330239,133,0.96134603
1599330245,134,0.962026656
1599330250,135,0.963407934
1599330255,136,0.963937938
1599330261,137,0.965724528
1599330266,138,0.962730765
1599330272,139,0.96571219
1599330277,140,0.965948284
1599330284,141,0.964771688
1599330289,142,0.965308607
1599330295,143,0.965040445
1599330300,144,0.964828849
1599330306,145,0.964257002
1599330311,146,0.964722812
1599330316,147,0.966607332
1599330322,148,0.964164495
1599330327,149,0.963457882
1599330333,150,0.967634916
1599330339,151,0.966825724
1599330345,152,0.96675992
1599330350,153,0.96156019
1599330355,154,0.965408921
1599330361,155,0.96625495
1599330366,156,0.964843512
1599330372,157,0.965384066
1599330377,158,0.963595569
1599330382,159,0.963774323
1599330388,160,0.967693925
1599330395,161,0.966185212
1599330400,162,0.967437148
1599330405,163,0.966407537
1599330411,164,0.964636624
1599330416,165,0.966401279
1599330421,166,0.966391802
1599330427,167,0.965651929
1599330432,168,0.965736628
1599330438,169,0.965993345
1599330443,170,0.967787147
