Wall time,Step,Value
1599333455.1657429,0,0.6486058235168457
1599333462.597883,1,0.5326433777809143
1599333467.4051597,2,0.4644439220428467
1599333472.2112842,3,0.382409006357193
1599333477.0144465,4,0.35304349660873413
1599333481.8216887,5,0.2983439266681671
1599333486.6220891,6,0.26752564311027527
1599333491.427266,7,0.24757784605026245
1599333496.2327697,8,0.2415129691362381
1599333501.8014045,9,0.2126358449459076
1599333506.5978887,10,0.2016303539276123
1599333512.8203557,11,0.214527890086174
1599333517.6248972,12,0.20314694941043854
1599333522.4253302,13,0.19223959743976593
1599333527.2195723,14,0.17849670350551605
1599333532.0237608,15,0.16783097386360168
1599333536.822089,16,0.1526109129190445
1599333541.6242862,17,0.1562192440032959
1599333546.4225106,18,0.15742363035678864
1599333551.3426247,19,0.14309950172901154
1599333556.157833,20,0.12960177659988403
1599333562.6784902,21,0.13518096506595612
1599333567.4726965,22,0.14309123158454895
1599333572.2610376,23,0.12994854152202606
1599333577.0583305,24,0.13705669343471527
1599333581.850637,25,0.12033618241548538
1599333586.64331,26,0.11769954115152359
1599333591.4357848,27,0.13652296364307404
1599333596.2319345,28,0.12433416396379471
1599333601.156339,29,0.1171565130352974
1599333605.9477484,30,0.1126081645488739
1599333612.3077266,31,0.10053912550210953
1599333617.1003537,32,0.10036254674196243
1599333621.8887482,33,0.09649467468261719
1599333626.6839938,34,0.09254010766744614
1599333631.475389,35,0.08864960074424744
1599333636.2677388,36,0.09203897416591644
1599333641.0619724,37,0.09462198615074158
1599333645.8591902,38,0.08602507412433624
1599333650.779096,39,0.08511681109666824
1599333655.5835793,40,0.08817898482084274
1599333661.6703591,41,0.08508762717247009
1599333666.4616175,42,0.07930465042591095
1599333671.25525,43,0.08022573590278625
1599333676.0504925,44,0.08335617184638977
1599333680.8438754,45,0.08264485746622086
1599333685.6414452,46,0.0858137458562851
1599333690.4348037,47,0.07805737853050232
1599333695.2280018,48,0.07993574440479279
1599333700.144819,49,0.07533587515354156
1599333704.9493153,50,0.07598617672920227
1599333710.9752407,51,0.07738522440195084
1599333715.7736402,52,0.08034949749708176
1599333720.572933,53,0.07391054928302765
1599333725.3702626,54,0.0738246738910675
1599333730.1646056,55,0.07943642884492874
1599333734.9619908,56,0.07231584191322327
1599333739.7586236,57,0.07043400406837463
1599333744.5529444,58,0.06673673540353775
1599333749.4863398,59,0.07536166161298752
1599333754.2906463,60,0.07995831966400146
1599333760.3037274,61,0.07596587389707565
1599333765.1060154,62,0.0762360468506813
1599333769.902241,63,0.07534123212099075
1599333774.7005098,64,0.07224541902542114
1599333779.4940817,65,0.07129239290952682
