Wall time,Step,Value
1599329501,0,0.627645135
1599329509,1,0.397322565
1599329515,2,0.296302974
1599329520,3,0.292179197
1599329526,4,0.238071114
1599329531,5,0.212915719
1599329536,6,0.200108841
1599329542,7,0.156511307
1599329547,8,0.147871539
1599329553,9,0.156384155
1599329559,10,0.129662469
1599329566,11,0.111994274
1599329571,12,0.118100308
1599329577,13,0.119412981
1599329582,14,0.099185437
1599329588,15,0.100315019
1599329593,16,0.105854996
1599329598,17,0.100426272
1599329604,18,0.096265167
1599329609,19,0.087874547
1599329615,20,0.086476833
1599329622,21,0.08587721
1599329627,22,0.082336821
1599329632,23,0.085287578
1599329638,24,0.090188771
1599329643,25,0.084610805
1599329649,26,0.076149821
1599329654,27,0.078815192
1599329659,28,0.081257023
1599329665,29,0.074770525
1599329670,30,0.077847853
1599329677,31,0.071054652
1599329683,32,0.072372928
1599329688,33,0.071742602
1599329693,34,0.071055211
1599329699,35,0.074417226
1599329704,36,0.085824363
1599329710,37,0.067396745
1599329715,38,0.06882561
1599329720,39,0.068826459
1599329726,40,0.063138656
1599329732,41,0.066705026
1599329738,42,0.072875075
1599329743,43,0.062700927
1599329749,44,0.063360579
1599329754,45,0.063537471
1599329759,46,0.064999752
1599329765,47,0.064109489
1599329770,48,0.065539114
1599329776,49,0.071232542
1599329781,50,0.065471649
1599329788,51,0.062585391
1599329793,52,0.062876388
1599329798,53,0.060553189
1599329804,54,0.058514699
1599329809,55,0.056497958
1599329815,56,0.059875809
1599329820,57,0.066808142
1599329825,58,0.059466265
1599329831,59,0.058204424
1599329836,60,0.059096742
1599329843,61,0.064961836
1599329848,62,0.067619652
1599329853,63,0.061658189
1599329859,64,0.062806427
1599329864,65,0.062900305
1599329870,66,0.056887608
1599329875,67,0.053965509
1599329881,68,0.053737976
1599329886,69,0.052332375
1599329891,70,0.052262761
1599329898,71,0.06267067
1599329903,72,0.054542758
1599329909,73,0.053759836
1599329914,74,0.0541257
1599329920,75,0.054646306
1599329925,76,0.057815421
1599329930,77,0.05116028
1599329936,78,0.053516045
1599329941,79,0.05659686
1599329947,80,0.056112647
1599329953,81,0.057253923
1599329958,82,0.053776454
1599329964,83,0.05610732
