Wall time,Step,Value
1599241486,0,0.559274971
1599241494,1,0.38287431
1599241499,2,0.290781021
1599241504,3,0.284413159
1599241509,4,0.249361068
1599241514,5,0.24183248
1599241519,6,0.227602437
1599241525,7,0.214210868
1599241530,8,0.22895214
1599241536,9,0.220602334
1599241541,10,0.189182356
1599241548,11,0.188037232
1599241553,12,0.164662942
1599241558,13,0.146937579
1599241563,14,0.155188486
1599241568,15,0.146384135
1599241573,16,0.202346653
1599241578,17,0.139691085
1599241583,18,0.128987432
1599241588,19,0.1506432
1599241593,20,0.127354532
1599241599,21,0.120210722
1599241604,22,0.107835457
1599241609,23,0.097665675
1599241615,24,0.096047588
1599241620,25,0.096166834
1599241625,26,0.117229983
1599241630,27,0.095389709
1599241635,28,0.095623933
1599241640,29,0.090775445
1599241645,30,0.083992988
1599241651,31,0.083736047
1599241656,32,0.08083041
1599241661,33,0.088323198
1599241666,34,0.082978234
1599241671,35,0.088031672
1599241676,36,0.085817926
1599241681,37,0.083032355
1599241686,38,0.075033553
1599241692,39,0.073269859
1599241697,40,0.075759917
1599241703,41,0.078411274
1599241708,42,0.080631554
1599241713,43,0.077807844
1599241718,44,0.082159266
1599241723,45,0.075860888
1599241728,46,0.067936033
1599241733,47,0.07047002
1599241738,48,0.069447383
1599241743,49,0.070180789
1599241748,50,0.070242211
1599241755,51,0.061940938
1599241760,52,0.066871837
1599241765,53,0.066033423
1599241770,54,0.069418788
1599241775,55,0.06373629
1599241780,56,0.062202137
1599241785,57,0.079633802
1599241790,58,0.084041737
1599241795,59,0.066256076
1599241800,60,0.072896518
1599241806,61,0.064924173
1599241811,62,0.065155976
1599241816,63,0.060009543
1599241821,64,0.062209096
1599241826,65,0.058116231
1599241831,66,0.059679218
1599241837,67,0.063008666
1599241842,68,0.059243925
1599241847,69,0.059947681
1599241852,70,0.065459043
1599241858,71,0.062722549
1599241863,72,0.066635892
1599241868,73,0.057055011
1599241873,74,0.057675339
1599241878,75,0.059379525
1599241883,76,0.057976458
1599241888,77,0.059754495
1599241893,78,0.059429064
1599241899,79,0.056708753
1599241904,80,0.062754288
1599241910,81,0.063503459
1599241915,82,0.054737691
1599241920,83,0.060607001
1599241925,84,0.055376761
1599241930,85,0.058514111
1599241935,86,0.055813953
1599241940,87,0.058470167
1599241945,88,0.065091245
1599241950,89,0.055400297
1599241955,90,0.06391044
1599241961,91,0.057573024
1599241966,92,0.056708042
1599241971,93,0.05463611
1599241976,94,0.054080151
1599241981,95,0.054862536
1599241986,96,0.054918606
1599241992,97,0.054001126
1599241997,98,0.055582043
1599242002,99,0.055336505
1599242007,100,0.052738197
1599242013,101,0.0521647
1599242018,102,0.056096736
1599242023,103,0.065137856
1599242028,104,0.054661017
1599242033,105,0.053820439
1599242038,106,0.051815953
1599242043,107,0.051459573
1599242048,108,0.051321719
1599242053,109,0.049852166
1599242058,110,0.04958988
1599242064,111,0.052389406
1599242069,112,0.052006878
1599242075,113,0.05171537
1599242080,114,0.049680017
1599242085,115,0.051752415
1599242090,116,0.051258471
1599242095,117,0.048276287
1599242100,118,0.052460484
1599242105,119,0.047635935
1599242110,120,0.049792025
1599242116,121,0.048051253
1599242121,122,0.049176529
1599242126,123,0.051467922
1599242131,124,0.053676985
1599242136,125,0.051524255
1599242142,126,0.051016841
1599242147,127,0.049355805
1599242152,128,0.048810441
1599242157,129,0.05094916
1599242162,130,0.046809889
1599242168,131,0.046836153
1599242173,132,0.047589824
1599242179,133,0.049800634
1599242184,134,0.046341673
1599242189,135,0.044998553
1599242194,136,0.047547378
1599242199,137,0.045939796
1599242204,138,0.045420963
1599242209,139,0.048988521
1599242214,140,0.05041258
1599242220,141,0.047967814
1599242226,142,0.049980368
1599242231,143,0.046550393
1599242236,144,0.0522338
1599242241,145,0.051329274
1599242246,146,0.049652632
1599242251,147,0.04703496
1599242256,148,0.045372125
1599242261,149,0.047793716
1599242266,150,0.04974892
1599242273,151,0.049915932
1599242278,152,0.046931677
1599242283,153,0.045384359
1599242288,154,0.043627735
1599242293,155,0.046584401
1599242298,156,0.046585526
1599242303,157,0.048714284
1599242308,158,0.046635911
1599242313,159,0.050068382
1599242318,160,0.046924148
1599242325,161,0.048727218
1599242330,162,0.04412866
1599242335,163,0.047204833
1599242340,164,0.047136955
1599242345,165,0.044191957
1599242350,166,0.044723999
1599242355,167,0.044932414
1599242360,168,0.043983676
1599242365,169,0.053734627
1599242370,170,0.048077136
1599242377,171,0.047339201
1599242382,172,0.046448998
1599242387,173,0.047479071
1599242392,174,0.043761641
1599242397,175,0.044793941
1599242402,176,0.043879814
1599242407,177,0.046314981
1599242412,178,0.04513628
1599242417,179,0.047663935
1599242422,180,0.04391972
1599242429,181,0.046082366
1599242434,182,0.046066646
1599242439,183,0.045811914
1599242444,184,0.041753199
1599242449,185,0.046450213
1599242454,186,0.042369083
1599242459,187,0.044360459
1599242465,188,0.04799505
1599242470,189,0.044156615
1599242475,190,0.043195333
1599242482,191,0.045418292
1599242487,192,0.043577574
1599242492,193,0.042870607
1599242497,194,0.043392055
1599242502,195,0.041476693
1599242507,196,0.042642087
1599242512,197,0.044490807
1599242517,198,0.043619525
1599242522,199,0.045124047
1599242527,200,0.043927681
1599242534,201,0.046448663
1599242539,202,0.043295704
1599242544,203,0.044971239
1599242549,204,0.041319456
1599242554,205,0.045532539
1599242559,206,0.043058056
1599242564,207,0.042351305
1599242569,208,0.044102963
1599242575,209,0.044570897
1599242580,210,0.042970106
1599242586,211,0.041400246
1599242591,212,0.042678889
1599242596,213,0.039694887
1599242601,214,0.040867619
1599242606,215,0.042698655
1599242611,216,0.041065257
1599242616,217,0.042247228
1599242622,218,0.046430193
1599242627,219,0.041681342
1599242632,220,0.040331155
1599242638,221,0.040858015
1599242643,222,0.042631455
1599242649,223,0.041048665
1599242654,224,0.039569531
1599242659,225,0.039560072
1599242664,226,0.042857829
1599242669,227,0.044060364
1599242674,228,0.045138538
1599242679,229,0.040039532
1599242684,230,0.040745601
1599242691,231,0.041251797
1599242696,232,0.039642811
1599242701,233,0.042956512
1599242706,234,0.044588666
1599242711,235,0.040814858
1599242716,236,0.044664308
1599242721,237,0.039627589
1599242726,238,0.041509464
1599242731,239,0.04071017
1599242736,240,0.038141392
1599242742,241,0.038639061
1599242747,242,0.037813805
1599242752,243,0.04138096
1599242757,244,0.038326532
1599242763,245,0.041800007
1599242768,246,0.039788742
1599242773,247,0.039651886
1599242778,248,0.041547805
1599242783,249,0.042827953
1599242788,250,0.04149691
1599242794,251,0.039837625
1599242799,252,0.040386707
1599242804,253,0.040465262
1599242809,254,0.038977169
1599242814,255,0.038952678
1599242819,256,0.042697404
1599242824,257,0.042842552
1599242829,258,0.042144544
1599242834,259,0.037786376
1599242840,260,0.039119393
1599242846,261,0.038759038
1599242851,262,0.041376658
1599242856,263,0.041498814
1599242861,264,0.042333107
1599242866,265,0.038938165
1599242871,266,0.040357172
1599242876,267,0.04229622
1599242881,268,0.043155398
1599242886,269,0.048834547
1599242891,270,0.046857264
1599242898,271,0.042398859
1599242903,272,0.041226812
1599242908,273,0.038547877
1599242913,274,0.039913196
1599242918,275,0.039426547
1599242923,276,0.036651485
1599242928,277,0.038421534
1599242933,278,0.03911851
1599242938,279,0.038768236
1599242943,280,0.037213586
1599242949,281,0.041863956
1599242954,282,0.038129408
1599242960,283,0.039233495
