Wall time,Step,Value
1599325743,0,0.547401488
1599325752,1,0.667554617
1599325757,2,0.740871727
1599325763,3,0.794003189
1599325769,4,0.800723493
1599325774,5,0.812557578
1599325780,6,0.849255979
1599325786,7,0.84751451
1599325792,8,0.869310617
1599325798,9,0.872238755
1599325804,10,0.903019905
1599325811,11,0.874808908
1599325817,12,0.901029527
1599325823,13,0.905698597
1599325829,14,0.8984707
1599325835,15,0.903256059
1599325840,16,0.922171831
1599325846,17,0.927499294
1599325852,18,0.928905547
1599325858,19,0.934699595
1599325864,20,0.938813806
1599325871,21,0.936810315
1599325876,22,0.942983747
1599325882,23,0.939366877
1599325888,24,0.939452171
1599325894,25,0.920629799
1599325899,26,0.938902438
1599325905,27,0.943295062
1599325911,28,0.909797072
1599325917,29,0.936932683
1599325922,30,0.941047788
1599325930,31,0.94261086
1599325935,32,0.945397019
1599325941,33,0.945787609
1599325947,34,0.945381403
1599325953,35,0.946541488
1599325958,36,0.944390595
1599325964,37,0.946148634
1599325970,38,0.95018667
1599325976,39,0.951372445
1599325981,40,0.955772579
1599325988,41,0.95062238
1599325994,42,0.946871638
1599326000,43,0.949961305
1599326005,44,0.950162947
1599326011,45,0.950348377
1599326017,46,0.953909218
1599326023,47,0.950019836
1599326028,48,0.953356862
1599326034,49,0.951816022
1599326040,50,0.951665699
1599326047,51,0.950915337
1599326053,52,0.953787804
1599326058,53,0.950472534
1599326064,54,0.952529371
1599326070,55,0.95377177
1599326076,56,0.953209698
1599326081,57,0.956759155
1599326087,58,0.954864323
1599326093,59,0.945532441
1599326099,60,0.937494874
1599326106,61,0.951783836
1599326112,62,0.957106411
1599326117,63,0.957343221
1599326123,64,0.958803475
1599326129,65,0.95592612
1599326135,66,0.952944815
1599326140,67,0.957660317
1599326146,68,0.957396805
1599326152,69,0.957913339
1599326158,70,0.956789553
1599326165,71,0.955951035
1599326171,72,0.958206952
1599326176,73,0.960326195
1599326182,74,0.960840821
1599326188,75,0.958257973
1599326193,76,0.959922254
1599326199,77,0.960591435
1599326205,78,0.961546361
1599326211,79,0.96034658
1599326216,80,0.958927989
1599326223,81,0.957583904
1599326229,82,0.953139246
1599326235,83,0.955094278
1599326241,84,0.960947633
1599326246,85,0.960531175
1599326252,86,0.962806523
1599326258,87,0.962758362
1599326264,88,0.954593182
1599326270,89,0.960255444
1599326275,90,0.963002682
1599326282,91,0.962211251
1599326288,92,0.964087605
1599326294,93,0.963244855
1599326300,94,0.960201919
1599326305,95,0.962626517
1599326311,96,0.963692486
1599326317,97,0.96265173
1599326323,98,0.962561548
1599326329,99,0.957443058
1599326334,100,0.959513605
1599326341,101,0.964080215
1599326347,102,0.964647114
1599326353,103,0.962193966
1599326358,104,0.964545548
1599326364,105,0.966351628
1599326370,106,0.963591039
1599326375,107,0.962320089
1599326381,108,0.96323967
1599326387,109,0.963686645
1599326393,110,0.965018213
1599326400,111,0.963291526
1599326406,112,0.964908004
1599326411,113,0.961400986
1599326417,114,0.964042127
1599326423,115,0.96438843
1599326429,116,0.967741549
1599326434,117,0.964183867
1599326440,118,0.962217629
1599326446,119,0.965234458
1599326452,120,0.965943217
1599326459,121,0.963478267
1599326465,122,0.964526176
1599326470,123,0.964197338
1599326476,124,0.966761351
1599326482,125,0.96421665
1599326487,126,0.960610151
1599326493,127,0.966114342
1599326499,128,0.964949608
1599326505,129,0.96537739
1599326511,130,0.966184437
1599326518,131,0.96415472
1599326523,132,0.967101693
1599326529,133,0.966409028
1599326535,134,0.966388524
1599326541,135,0.965231597
1599326546,136,0.967054904
1599326552,137,0.967216611
1599326558,138,0.962018371
1599326564,139,0.966782451
1599326569,140,0.965001285
1599326576,141,0.966125548
1599326582,142,0.967790067
1599326588,143,0.95517242
1599326594,144,0.967286646
1599326599,145,0.966086268
1599326605,146,0.940287113
1599326611,147,0.957799613
1599326616,148,0.964139521
1599326622,149,0.96660161
1599326628,150,0.965645492
1599326635,151,0.968224287
1599326641,152,0.966233194
